field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels
D13,COMO,Como Creek NEON,Core Aquatic,Wadeable Stream,NIWO,US Forest Service,https://cuboulder.qualtrics.com/jfe/form/SV_3O9QymZrswv5U6F,Yes,Reseachers should coordinate with the site manager and submit a site research permit.,Domain 10/13 Support Facility,40.034962,-105.54416,WGS84,4431779.634,453513.6657,13N,Boulder,CO,USA,3021,,,2,841,,,Shrub/Scrub,,[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005),St. Vrain,3.6,,,,COXb;0|COQd;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.COMO.DP1.20002),
D10,CPER,Central Plains Experimental Range NEON,Core Terrestrial,,,USDA-Agricultural Research Service,https://www.ars.usda.gov/plains-area/fort-collins-co/center-for-agricultural-resources-research/rangeland-resources-systems-research/docs/rrsr/central-plains-experimental-research-location/,Yes,Reseachers should coordinate with the site manager.,Domain 10/13 Support Facility,40.815536,-104.74559,WGS84,4518311.062,521454.7706,13N,Weld,CO,USA,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),,,,,,9,COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,90,165,210,350,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.CPER.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.CPER.DP1.00042),4
D05,CRAM,Crampton Lake NEON,Core Aquatic,Lake,,University of Notre Dame,https://underc.nd.edu/underc-west/research-opportunities/,Yes,"UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.",Domain 05 Support Facility,46.209675,-89.473688,WGS84,5120489.547,308836.941,16N,Vilas,WI,USA,509,,,4.3,794,,,Woody Wetlands,,[h04020102](https://water.usgs.gov/lookup/getwatershed?04020102),Ontonagon,0.6,4.6,19,,WIAgn;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.CRAM.DP1.20002),
D04,CUPE,Rio Cupeyes NEON,Core Aquatic,Wadeable Stream,,Commonwealth of Puerto Rico|Private (access),,Limited,Please note this area is an active farm. Research activities are limited and must not interfere with farming activites; gates must remain closed at all times to avoid cattle walking out. Start permitting > 6 months prior to scheduled start.,Domain 04 Support Facility,18.11352,-66.98676,WGS84,2003908.949,713025.6777,19N,San German Municipio,PR,USA,157,,,,,,,Evergreen Forest,,[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003),Culebrinas-Guanajibo,4.3,,,,KJs,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.CUPE.DP1.20002),
D09,DCFS,Dakota Coteau Field Site NEON,Gradient Terrestrial,,PRLA,North Dakota Land Trust,https://www.land.nd.gov/,Yes,Reseachers should coordinate with the site manager.,Domain 09 Support Facility,47.16165,-99.10656,WGS84,5223133.117,491923.484,14N,Stutsman,ND,USA,575,494,592,4.9,490,NW,0.4,Grassland/Herbaceous,Elaeagnus commutata (slilverberry)|Poa pratensis (Kentucky bluegrass)|Crataegus chrysocarpa (fireberry hawthorn),,,,,,8,NDQct;0,"Fine, loamy, mixed, superactive, frigid. Typic Haplustolls.",Typic Haplustolls,170,120,180,205,290,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.DCFS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.DCFS.DP1.00042),4
D19,DEJU,Delta Junction NEON,Gradient Terrestrial,,,Bureau of Land Management,https://www.blm.gov/office/eastern-interior-field-office,Yes,Reseachers should coordinate with the site manager.,Domain 18/19 Support Facility,63.88112,-145.75136,WGS84,7084367.216,561330.0608,6N,Southeast Fairbanks,AK,USA,517,444,581,-3,305,E,10,Evergreen Forest|Shrub/Scrub|Woody Wetlands,Picea mariana (black spruce)|Vaccinium vitis-idaea (lingonberry)|Betula glandulosa / Betula  (American dwarf birch),,,,,,22,A003.MH002_140,"Coarse, loamy, mixed, superactive. Typic Haplocryepts.",Typic Haplocryepts,120,130,170,210,250,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D19.DEJU.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D19.DEJU.DP1.00042),5
D08,DELA,Dead Lake NEON,Gradient Terrestrial,,BLWA,US Army Corps of Engineers,https://www.sam.usace.army.mil/,Limited,"This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible.",Domain 08 Support Facility,32.541727,-87.803877,WGS84,3600769.463,424518.299,16N,Greene,AL,USA,25,21,41,17.6,1372,SW,30,Evergreen Forest|Woody Wetlands,Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple),,,,,,42,ALHalt;0,"Fine, mixed, semiactive, thermic. Aquic Paleudults.",Aquic Paleudults,270,60,135,205,330,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.DELA.DP1.00042),6
D03,DSNY,Disney Wilderness Preserve NEON,Gradient Terrestrial,,,The Nature Conservancy,https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/the-disney-wilderness-preserve/,Yes,New research requests may be restricted to limited portions of the preserve - coordination required with preserve management.,Domain 03 Support Facility,28.12505,-81.43619,WGS84,3111130.689,457161.0924,17N,Osceola,FL,USA,20,15,22,22.5,1216,E,1.5,Pasture/Hay|Woody Wetlands,Andropogon virginicus (broomsedge bluestem)|Aristida beyrichia (wiregrass)|Axonopus furcatus (big carpetgrass),,,,,,8,FLPSHu;0,"Sandy, siliceous, hyperthermic.  Aeric Alaquods.",Aeric Alaquods,260,60,140,190,320,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.DSNY.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.DSNY.DP1.00042),4
D03,FLNT,Flint River NEON,Gradient Aquatic,Non-wadeable River,JERC,"Robert Woodruff Foundation, Inc.",http://www.jonesctr.org/research/,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,31.185424,-84.437403,WGS84,3452980.845,744204.4003,16N,Baker,GA,USA,30,,,19.2,1311,,,Mixed Forest,,[h03130008](https://water.usgs.gov/lookup/getwatershed?03130008),Lower Flint,14999.4,,,,GAQal;1,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.FLNT.DP1.20002),
D07,GRSM,Great Smoky Mountains National Park NEON,Gradient Terrestrial,,LECO,National Park Service,https://irma.nps.gov/rprs/,Yes,The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal.,Domain 07 Support Facility,35.68896,-83.50195,WGS84,3952335.289,273599.8765,17N,Sevier,TN,USA,575,426,1978,13.1,1375,NW,30,Deciduous Forest|Evergreen Forest,Liriodendron tulipifera (tulip tree/yellow poplar)|Lindera benzoin (spicebush)|Acer rubrum (red maple),,,,,,45,TNpCAs;15,"Loamy, skeletal, isotic, mesic.  Typic Humudepts.",Typic Humudepts,220,90,155,215,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.GRSM.DP1.00042),6
